,date,infectious,recoveredCumulative
0,2020-03-15,0.0013570954581631769,0.00010947814798281219
1,2020-03-22,0.0050482794838806995,0.0007078141646809541
2,2020-03-29,0.01429033079494457,0.0037620015735875924
3,2020-04-05,0.020760380946522845,0.013775097002787838
4,2020-04-12,0.019092194117359004,0.03249983476206592
5,2020-04-19,0.025052430187076726,0.052524219050367686
6,2020-04-26,0.027921624817873796,0.07382620971248867
7,2020-05-03,0.02853441339536175,0.10214527995208225
8,2020-05-10,0.030745293882182962,0.12983494116927957
9,2020-05-17,0.031356637203591935,0.16020482978494724
10,2020-05-24,0.036781044582027446,0.19040020372907793
11,2020-05-31,0.04579835857280976,0.22464157206631596
12,2020-06-07,0.046399946415685615,0.2671440241510095
13,2020-06-14,0.053112438274512966,0.3128784301423244
14,2020-06-21,0.07871153657346426,0.36208145072319364
15,2020-06-28,0.11305045969603351,0.42719240496540706
16,2020-07-05,0.1340402750450946,0.5261209061996973
17,2020-07-12,0.1478356056329882,0.6533616127072059
18,2020-07-19,0.16632874110560955,0.7941678540860503
19,2020-07-26,0.15633371137739657,0.9518781718786762
20,2020-08-02,0.12296455508382356,1.1213015675634037
21,2020-08-09,0.14284405245020748,1.2580863839024834
22,2020-08-16,0.13820983883295485,1.379682281479512
23,2020-08-23,0.09807363226357296,1.5357085146261054
24,2020-08-30,0.08468586388995206,1.644571706147311
25,2020-09-06,0.06820018911103531,1.7341645757394233
26,2020-09-13,0.05665403829605595,1.8122250244493068
27,2020-09-20,0.05949468911929315,1.8696417966410448
28,2020-09-27,0.05678591791326297,1.928318109505615
29,2020-10-04,0.053103044109999574,1.9869727435290006
30,2020-10-11,0.05750565544059552,2.0405592257974194
31,2020-10-18,0.05748469922745029,2.0971572604204147
32,2020-10-25,0.07616065959406275,2.1518099803611013
33,2020-11-01,0.07898758048454964,2.222312101091934
34,2020-11-08,0.11212657974754492,2.297879483065575
35,2020-11-15,0.16416483144135524,2.393710800522609
36,2020-11-22,0.2307271841008853,2.530941839676074
37,2020-11-29,0.2698350909700722,2.735263111271917
38,2020-12-06,0.4420980535359778,2.9852136464793286
39,2020-12-13,0.6272794375638553,3.3392059989284655
40,2020-12-20,0.7302532105632132,3.878938688194026
41,2020-12-27,0.6508537320961542,4.6151745362961805
42,2021-01-03,0.675473308087576,5.286863080026925
43,2021-01-10,0.7251402558697982,5.941754134979713
44,2021-01-17,0.5806702903307371,6.652206975946867
45,2021-01-24,0.3761553544203109,7.3261454220785645
46,2021-01-31,0.27715061592785434,7.767311285443601
47,2021-02-07,0.19677125383924599,8.08879260239606
48,2021-02-14,0.1292384117226802,8.316199671969505
49,2021-02-21,0.09124985568666409,8.473496646523543
50,2021-02-28,0.0692819632861526,8.576168722316414
51,2021-03-07,0.059909116299940945,8.622749687055991
